plot-name,dof,median,low,high
mlp-fosls,114,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,354,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,354,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,626,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,626,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,626,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,2274,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,2274,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,2274,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,2274,0.015784205868840218,0.01355210691690445,0.02058323659002781
mlp-fosls,3330,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,3330,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,3330,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,3330,0.015784205868840218,0.01355210691690445,0.02058323659002781
mlp-fosls,3330,0.00667484849691391,0.005612282548099756,0.009903635829687119
mlp-fosls,12802,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,12802,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,12802,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,12802,0.015784205868840218,0.01355210691690445,0.02058323659002781
mlp-fosls,12802,0.00667484849691391,0.005612282548099756,0.009903635829687119
mlp-fosls,12802,0.005282842321321368,0.004584592767059803,0.006555341184139252
mlp-fosls,16962,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,16962,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,16962,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,16962,0.015784205868840218,0.01355210691690445,0.02058323659002781
mlp-fosls,16962,0.00667484849691391,0.005612282548099756,0.009903635829687119
mlp-fosls,16962,0.005282842321321368,0.004584592767059803,0.006555341184139252
mlp-fosls,16962,0.004028391325846314,0.0035996618680655956,0.004557510372251272
mlp-fosls,66690,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,66690,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,66690,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,66690,0.015784205868840218,0.01355210691690445,0.02058323659002781
mlp-fosls,66690,0.00667484849691391,0.005612282548099756,0.009903635829687119
mlp-fosls,66690,0.005282842321321368,0.004584592767059803,0.006555341184139252
mlp-fosls,66690,0.004028391325846314,0.0035996618680655956,0.004557510372251272
mlp-fosls,66690,0.0037095058942213655,0.0032765157520771027,0.0047084796242415905
mlp-fosls,264450,0.14475202560424805,0.10178947448730469,0.19749805331230164
mlp-fosls,264450,0.08836778998374939,0.07237235456705093,0.11124833673238754
mlp-fosls,264450,0.023567302152514458,0.020190231502056122,0.028737295418977737
mlp-fosls,264450,0.015784205868840218,0.01355210691690445,0.02058323659002781
mlp-fosls,264450,0.00667484849691391,0.005612282548099756,0.009903635829687119
mlp-fosls,264450,0.005282842321321368,0.004584592767059803,0.006555341184139252
mlp-fosls,264450,0.004028391325846314,0.0035996618680655956,0.004557510372251272
mlp-fosls,264450,0.0037095058942213655,0.0032765157520771027,0.0047084796242415905
mlp-fosls,264450,0.003319191513583064,0.003090182552114129,0.0038559793028980494
mlp_V0-fosls,114,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,354,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,354,0.31254079937934875,0.2939077317714691,0.33248060941696167
mlp_V0-fosls,626,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,626,0.31254079937934875,0.2939077317714691,0.33248060941696167
mlp_V0-fosls,626,0.19291290640830994,0.16926316916942596,0.23971107602119446
mlp_V0-fosls,2274,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,2274,0.31254079937934875,0.2939077317714691,0.33248060941696167
mlp_V0-fosls,2274,0.19291290640830994,0.16926316916942596,0.23971107602119446
mlp_V0-fosls,2274,0.11081932112574577,0.10689330101013184,0.12441129237413406
mlp_V0-fosls,3330,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,3330,0.31254079937934875,0.2939077317714691,0.33248060941696167
mlp_V0-fosls,3330,0.19291290640830994,0.16926316916942596,0.23971107602119446
mlp_V0-fosls,3330,0.11081932112574577,0.10689330101013184,0.12441129237413406
mlp_V0-fosls,3330,0.07975571975111961,0.0736503005027771,0.09959762543439865
mlp_V0-fosls,12802,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,12802,0.31254079937934875,0.2939077317714691,0.33248060941696167
mlp_V0-fosls,12802,0.19291290640830994,0.16926316916942596,0.23971107602119446
mlp_V0-fosls,12802,0.11081932112574577,0.10689330101013184,0.12441129237413406
mlp_V0-fosls,12802,0.07975571975111961,0.0736503005027771,0.09959762543439865
mlp_V0-fosls,12802,0.057565055787563324,0.054898202419281006,0.06166694313287735
mlp_V0-fosls,16962,0.37391677498817444,0.36132967472076416,0.39247366786003113
mlp_V0-fosls,16962,0.31254079937934875,0.2939077317714691,0.33248060941696167
mlp_V0-fosls,16962,0.19291290640830994,0.16926316916942596,0.23971107602119446
mlp_V0-fosls,16962,0.11081932112574577,0.10689330101013184,0.12441129237413406
mlp_V0-fosls,16962,0.07975571975111961,0.0736503005027771,0.09959762543439865
